Configuracion Inicial|Erstkonfiguration
Seleccione el Idioma / Select the Language|Wählen Sie Sprache / Wählen Sie die Sprache
Color|Farbe
Movimiento|Bewegung
Otros|Andere
Indiquenos desde que sitio ha descargado este programa|Geben Sie an, von welcher Seite Sie dieses Programm heruntergeladen haben
Correo Electronico|E-Mail
2 decimales|2 Dezimalstellen
0 decimales|0 Dezimalstellen
Seleccione el Numero de Decimales|Wählen Sie die Anzahl der Dezimalstellen
Seleccione el Impuesto|Wähle die Steuer aus
Seleccione su Bandera|Wählen Sie Ihre Flagge
Seleccione la Moneda|Wählen Sie die Währung
Seleccione el Pais|Wählen Sie das Land aus
Nombre de Empresa|Firmenname
Continuar|Fortfahren
Programa|Programm
Continuar / Continue|Weiter / Weiter
Este boton le permitira cambiar la configuracion regional|Mit dieser Schaltfläche können Sie die regionalen Einstellungen ändern
Con este boton cambiara el tamaño de la ventana.|Mit dieser Schaltfläche ändern Sie die Größe des Fensters.
Con este boton podra ver datos de su licencia|Mit dieser Schaltfläche können Sie Ihre Lizenzdaten sehen
Este boton le servira para cambiar el idioma|Diese Schaltfläche dient zum Ändern der Sprache
Con este boton cambiara el color de la pantalla|Mit dieser Schaltfläche ändert sich die Farbe des Bildschirms
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Programm geschützt durch geistige Eigentumsrechte an Marken und Patenten in Bezug auf Inhalt und Design.
Madrid - España|Madrid - Spanien
Tpv|Tpv
** Bienvenido **|** Willkommen **
Salir|Beenden
Caja Entradas|Tickets Box
Seleccione Su Opcion|Wählen Sie Ihre Option
Caja Ropero|Kleiderschrank Box
Comprar|Kaufen
¡Tiempo Limitado!|Begrenzte Zeit!
6 Comprados|6 Gekauft
Horas:|Stunden:
Cod Promocion: XXXXX|Kabeljau-Förderung: XXXXX
Tiene un descuento de|Es hat einen Rabatt von
Precios|Preise
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Denken Sie daran, dass Sie für die telefonische Unterstützung die Vollversion haben müssen, andernfalls konsultieren Sie direkt aus dem Programm.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Überprüfen Sie unsere Website, um die Preise zu bestätigen, die möglicherweise geändert wurden
<Tipo de Licencia>|<Lizenztyp>
Estoy utilizando una licencia|Ich benutze eine Lizenz
Diferencias entre tipos de licencia|Unterschiede zwischen den Lizenztypen
Pasar de la version Gratuita a la Basica|Wechseln Sie von Free zu Basic-Version
Promociones / Envio Email|Werbeaktionen / E-Mail
Admisitracion Permisos|Zulassungsgenehmigungen
Tipos de licencia|Lizenztypen
Conectar en Red|Verbinden Sie sich im Netzwerk
Activar Gratis la version Basica|Aktivieren Sie die Basic-Version kostenlos
Registrar|Registrieren
<Terminal>|<Terminal>
Acerca de|Über
Asistencia|Hilfe
Configuracion|Konfiguration
Listados|Einträge
Caja|Kasten
Conexion con dispositivo movil - android|Verbindung mit Mobilgerät - Android
Niveles de Acceso|Zugriffsebenen
Almacenes|Lagerhäuser
Mantenimiento|Wartung
Actualizaciones Activadas|Aktivierte Updates
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Version: 8.5.1)
Serie: XXX|Serie: XXX
Licencia: XXX|Lizenz: XXX
PROGRAMA REGISTRADO|Registriertes Programm
nombre restaurante|Name des Restaurants
Tpv 123 Hosteleria|Tpv 123 Gastfreundschaft
ADVERTENCIAS IMPORTANTES|WICHTIGE WARNUNGEN
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- Die Unkenntnis dieser Bedingungen befreit Sie nicht von der Einhaltung dieser Bedingungen.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Nur Kunden mit der COMPLETE-Version haben eine telefonische Unterstützung
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- Im Vollmodus, so dass sie eine jährliche Zahlung, sowie in der Basisversion enthalten Optionen sind so nennen Anspruch auf Unterstützung.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- Im BASICA-Modus haben Sie mit einer reduzierten Jahresgebühr die Programmoptionen aktiviert, mit denen Sie alle notwendigen Schritte für Ihr Unternehmen ausführen können, für weitere Details beachten Sie bitte die Option Lizenztypen.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|Wenn Sie sich entscheiden, denken Sie daran zu verwenden, dass die kostenlose Version hat einige Einschränkungen, Lizenztypen Option für eine detailliertere Beschreibung der FREE, Grund- und Vollversion sehen.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- Im FREE-Modus können Sie in den ersten 90 Tagen versuchen, mit der BASIC-Version zu arbeiten, danach können Sie zur kostenlosen Version zurückkehren oder zur BASIC- oder COMPLETE-Version wechseln. Denken Sie daran, dass diese kostenlose Version für Unternehmen gedacht ist
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- Das Unternehmen Tpv 123 - Free ist nicht verantwortlich, wenn der Kunde den Computer initialisiert oder wird von einem Virus angegriffen, die zu Datenverlust oder Lizenz verursacht.
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- Tpv 123 - Free empfiehlt den Kauf eines EPSON / SAMSUNG / Star-Ticketdruckers oder eines anderen Druckermodells, sofern dieses zusammen mit den Druckertreibern installiert wird. (Verbindungstyp recomen
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Dies ist ein Standard-Programm, keine benutzerdefinierten Änderungen oder Anpassungen vorgenommen werden, unsere Kunden in BASIC und COMPLETE-Version, wenn sie einige Änderungen vorschlagen können, die wir in den folgenden Versionen ohne zusätzliche Kosten enthalten.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- Wenn Sie die kostenlose Version verwenden und muss einige Unterstützung erinnern die Basisversion oder vollständig abhängig von seiner Häufigkeit zu mieten.
Al instalar este programa,usted acepta las siguientes condiciones:|Mit der Installation dieses Programms akzeptieren Sie die folgenden Bedingungen:
CONDICIONES DE USO DEL PROGRAMA|Nutzungsbedingungen für das Programm
Promociones Fast Food|Fast-Food-Angebote
Zonas|Bereiche
SubFamilias|Unterfamilien
Productos Elaborados|Verarbeitete Produkte
Productos|Produkte
Familias|Familien
Varios Precios|Verschiedene Preise
