Configuracion Inicial|configuració Inicial
Seleccione el Idioma / Select the Language|Seleccioneu l'Idioma / Select the Language
Color|color
Movimiento|moviment
Otros|altres
Indiquenos desde que sitio ha descargado este programa|Indiqui'ns des que lloc ha descarregat aquest programa
Correo Electronico|correu Electronic
2 decimales|2 decimals
0 decimales|0 decimals
Seleccione el Numero de Decimales|Seleccioneu el Nombre de Decimals
Seleccione el Impuesto|Seleccioneu l'Impost
Seleccione su Bandera|Seleccioneu la seva Bandera
Seleccione la Moneda|Seleccioneu la Moneda
Seleccione el Pais|Seleccioneu el País
Nombre de Empresa|Nom d'Empresa
Continuar|continuar
Programa|programa
Continuar / Continue|Continuar / Continue
Este boton le permitira cambiar la configuracion regional|Aquest botó li permetrà canviar la configuració regional
Con este boton cambiara el tamaño de la ventana.|Amb aquest botó canviés la mida de la finestra.
Con este boton podra ver datos de su licencia|Amb aquest botó podrà veure dades de la seva llicència
Este boton le servira para cambiar el idioma|Aquest botó li servirà per canviar l'idioma
Con este boton cambiara el color de la pantalla|Amb aquest botó canviés el color de la pantalla
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Programa protegit pels drets de propietat intel·lectual en Marques i Patents quant al contingut i disseny.
Madrid - España|Madrid - Espanya
Tpv|tpv
** Bienvenido **|** Benvingut **
Salir|sortir
Caja Entradas|Caixa Entrades
Seleccione Su Opcion|Seleccioneu El seu Opció
Caja Ropero|Caixa Rober
Comprar|comprar
¡Tiempo Limitado!|¡Temps Limitat!
6 Comprados|6 Comprats
Horas:|hores:
Cod Promocion: XXXXX|Cod Promoció: XXXXX
Tiene un descuento de|Té un descompte de
Precios|preus
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Recordeu que per poder tenir assistència telefònica ha de tenir contractat la versió Completa, en cas contrari faci la seva consulta directament des del programa.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Consulti la nostra pàgina web, per confirmar els preus que és possible que hagin patit algun canvi
<Tipo de Licencia>|<Tipus de Llicència>
Estoy utilizando una licencia|Estic utilitzant una llicència
Diferencias entre tipos de licencia|Diferències entre tipus de llicència
Pasar de la version Gratuita a la Basica|Passar de la versió Gratuïta a la Basica
Promociones / Envio Email|Promocions / Enviament email
Admisitracion Permisos|Admisitracion Permisos
Tipos de licencia|Tipus de llicència
Conectar en Red|Connectar en Xarxa
Activar Gratis la version Basica|Activa Gratis la versió Basica
Registrar|registrar
<Terminal>|<Terminal>
Acerca de|sobre
Asistencia|assistència
Configuracion|configuració
Listados|Llistes
Caja|Caixa
Conexion con dispositivo movil - android|Conexion amb dispositiu mòbil - Android
Niveles de Acceso|Nivells d'Accés
Almacenes|magatzems
Mantenimiento|manteniment
Actualizaciones Activadas|actualitzacions Activades
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Version: 8.5.1)
Serie: XXX|Sèrie: XXX
Licencia: XXX|Llicència: XXX
PROGRAMA REGISTRADO|PROGRAMA REGISTRAT
nombre restaurante|nom restaurant
Tpv 123 Hosteleria|Tpv 123 Hosteleria
ADVERTENCIAS IMPORTANTES|ADVERTÈNCIES IMPORTANTS
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- El desconeixement d'aquestes condicions no l'eximeix del compliment de les mateixes.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Només els clients amb la versió COMPLETA tenen inclosa l'assistència telefònica
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- En la modalitat COMPLETA, realitzant un pagament anual, a més de les opcions incloses en la versió BASICA, tindrà dret a l'assistència de forma telefònica.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- En la modalitat BASICA, amb una reduïda quota anual vostè tindrà habilitada les opcions del programa que li permetran realitzar totes gestions necessàries per al seu negoci, per a més detall recordi consultar l'opció de Tipus de Llicència.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|Si decideix utilitzar la versió GRATUÏTA recordi que té algunes limitacions, consulteu l'opció de Tipus de Llicència per a una descripció més detallada de la versió GRATUÏTA, BASICA i COMPLETA.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- En la modalitat GRATUÏTA, durant els primers 90 dies vostè podrà provar i treballar amb la versió BASICA, passat aquest període podrà tornar a la versió gratuïta o passar a la versió BÀSICA o COMPLETA. Recordeu que aquesta versió GRATUÏTA és per empr
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- L'empresa Tpv 123 - Gratuït no és responsable si el client formata l'equip o és atacat per algun tipus de virus que provoqui la pèrdua d'informació o de llicència.
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- Tpv 123 - Gratuït recomana la compra, per al bon funcionament del programa, d'una impressora de tiquets EPSON / SAMSUNG / Star o qualsevol model d'impressora, sempre que s'instal·li juntament amb els drivers d'aquesta impressora. (Tipus de connexió reco
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- Aquest és un programa estàndard, no es fan modificacions a mida o personalitzacions, els nostres clients en versió BÀSICA i COMPLETA si poden suggerir alguns canvis que nosaltres sense cap cost afegit inclourem en següents versions.
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- Si aquesta utilitzant la versió GRATUÏTA i necessita algun tipus d'assistència recordi que ha de contractar la versió BÀSICA o COMPLETA depenent de la seva incidència.
Al instalar este programa,usted acepta las siguientes condiciones:|En instal·lar aquest programa, vostè accepta les següents condicions:
CONDICIONES DE USO DEL PROGRAMA|CONDICIONS D'ÚS DEL PROGRAMA
Promociones Fast Food|Promocions Fast Food
Zonas|zones
SubFamilias|subfamílies
