Configuracion Inicial|Hasierako konfigurazioa
Seleccione el Idioma / Select the Language|Hautatu hizkuntza / hautatu hizkuntza
Color|color
Movimiento|motion
Otros|beste batzuk
Indiquenos desde que sitio ha descargado este programa|Esan programa honetatik deskargatu duzun gunetik
Correo Electronico|posta elektronikoa
2 decimales|2 hamartar
0 decimales|0 hamartar
Seleccione el Numero de Decimales|Hautatu hamartarren kopurua
Seleccione el Impuesto|Aukeratu Zerga
Seleccione su Bandera|Aukeratu zure bandera
Seleccione la Moneda|Aukeratu Moneta
Seleccione el Pais|Aukeratu herrialdea
Nombre de Empresa|Enpresaren izena
Continuar|jarraitu
Programa|programa
Continuar / Continue|Jarraitu / Jarraitu
Este boton le permitira cambiar la configuracion regional|Botoi honek eskualdeko ezarpenak aldatzen uzten dizu
Con este boton cambiara el tamaño de la ventana.|Botoi honekin, leihoaren tamaina aldatuko duzu.
Con este boton podra ver datos de su licencia|Botoi honekin zure lizentzia datuak ikus ditzakezu
Este boton le servira para cambiar el idioma|Botoi honek hizkuntza aldatzeko balio du
Con este boton cambiara el color de la pantalla|Botoi honekin pantailaren kolorea aldatu egingo da
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Marka eta Patenteen jabetza intelektualeko eskubideak babestutako programa edukiak eta diseinua kontuan hartuta.
Madrid - España|Madril - Espainia
Tpv|TPV
** Bienvenido **|** Ongi **
Salir|irteera
Caja Entradas|Sarreren koadroa
Seleccione Su Opcion|Aukeratu zure aukera
Caja Ropero|Wardrobe Box
Comprar|erosi
¡Tiempo Limitado!|Denbora mugatua!
6 Comprados|6 Erosi
Horas:|ordutegia:
Cod Promocion: XXXXX|Bakailaoaren sustapena: XXXXX
Tiene un descuento de|Deskontua du
Precios|prezioak
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Gogoratu telefonia laguntza izateko bertsio osoa izan behar duzula, bestela programatik zuzenean kontsultatu.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Kontsultatu gure webgunea, aldaketa batzuk jasan dituzten prezioak baieztatzeko
<Tipo de Licencia>|<Lizentzi mota>
Estoy utilizando una licencia|Lizentzia bat erabiltzen ari naiz
Diferencias entre tipos de licencia|Lizentzia mota guztien arteko desberdintasunak
Pasar de la version Gratuita a la Basica|Aldatu doako eta oinarrizko bertsio batetik
Promociones / Envio Email|Promozioak / Posta elektronikoa
Admisitracion Permisos|Onarpen baimenak
Tipos de licencia|Lizentzia motak
Conectar en Red|Sarera konektatzea
Activar Gratis la version Basica|Aktibatu Oinarrizko bertsioa doan
Registrar|erregistro
<Terminal>|<Terminal>
Acerca de|buruz
Asistencia|laguntza
Configuracion|configuración
Listados|zerrendak
Caja|box
Conexion con dispositivo movil - android|Gailu mugikorrarekin konexioa - android
Niveles de Acceso|Sarbide-maila
Almacenes|biltegiak
Mantenimiento|mantentze
Actualizaciones Activadas|Aktibatu eguneraketak
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (bertsioa: 8.5.1)
Serie: XXX|Seriea: XXX
Licencia: XXX|Lizentzia: XXX
PROGRAMA REGISTRADO|PROGRAMA ERREGISTRATUTA
nombre restaurante|jatetxe izena
Tpv 123 Hosteleria|Tpv 123 Ostalaritza
ADVERTENCIAS IMPORTANTES|ADIERAZPEN GARRANTZITSUAK
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- Baldintza hauen ezjakintasuna ez da haiekin betetzea.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- COMPLETE bertsioarekin bakarrik bezeroek telefono bidezko laguntza dute
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- Modu osagarrian, urteko ordainketa egiten baduzu, OINARRIZKO bertsioan sartutako aukeren gain, telefono bidezko laguntza izango duzu.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- BASIC moduan, urteko kuota murriztuarekin aukera emango dizu zure negoziorako beharrezko urratsak egiteko aukera ematen duen programa-aukera, xehetasun gehiago gogoan izan Lizentzia motak aukeratzerakoan.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|DOAKO GRAFIKOA erabiltzea erabakitzen baduzu gogoan izan muga batzuk badituzu, ikusi Lizentzia motak aukera FREE, BASIC eta COMPLETE bertsioaren deskribapen zehatza lortzeko.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- Doako moduan, lehen 90 egunetan BASIC bertsioarekin saiatu eta lan egin dezakezu, garai hartan bertsio askea itzultzeko edo BASIC edo COMPLETE bertsioara joateko. Gogoratu bertsio hau FREE dela enpresa
