Configuracion Inicial|Configuración inicial
Seleccione el Idioma / Select the Language|Seleccione Idioma / Seleccionar o idioma
Color|Cor
Movimiento|Movemento
Otros|Outros
Indiquenos desde que sitio ha descargado este programa|Indicar de que sitio descargaches este programa
Correo Electronico|Correo electrónico
2 decimales|2 decimais
0 decimales|0 decimais
Seleccione el Numero de Decimales|Seleccione o número de decimais
Seleccione el Impuesto|Selecciona o imposto
Seleccione su Bandera|Selecciona a túa Bandeira
Seleccione la Moneda|Selecciona a moeda
Seleccione el Pais|Selecciona o país
Nombre de Empresa|Nome da empresa
Continuar|Continuar
Programa|Programa
Continuar / Continue|Continuar / Continuar
Este boton le permitira cambiar la configuracion regional|Este botón permítelle cambiar a configuración rexional
Con este boton cambiara el tamaño de la ventana.|Con este botón, cambiará o tamaño da xanela.
Con este boton podra ver datos de su licencia|Con este botón podes ver os teus datos de licenza
Este boton le servira para cambiar el idioma|Este botón servirá para cambiar o idioma
Con este boton cambiara el color de la pantalla|Con este botón cambiará a cor da pantalla
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Programa protexido por dereitos de propiedade intelectual en marcas e patentes en termos de contido e deseño.
Madrid - España|Madrid - España
Tpv|Tpv
** Bienvenido **|** Benvido **
Salir|Saída
Caja Entradas|Caixa de entradas
Seleccione Su Opcion|Selecciona a túa opción
Caja Ropero|Caixa de armario
Comprar|Compra
¡Tiempo Limitado!|Tempo limitado
6 Comprados|6 Comprado
Horas:|Horas:
Cod Promocion: XXXXX|Promoción de bacallau: XXXXX
Tiene un descuento de|Ten un desconto
Precios|Prezos
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Lembra que para ter asistencia telefónica debes ter a versión completa, se non, consulte directamente desde o programa.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Consulte o noso sitio web, para confirmar os prezos que poden sufrir algún cambio
<Tipo de Licencia>|<Tipo de licenza>
Estoy utilizando una licencia|Estou usando unha licenza
Diferencias entre tipos de licencia|Diferenzas entre tipos de licenza
Pasar de la version Gratuita a la Basica|Cambia da versión gratuíta ao básica
Promociones / Envio Email|Promocións / Correo electrónico
Admisitracion Permisos|Permisos de admisión
Tipos de licencia|Tipos de licenza
Conectar en Red|Conectarse en rede
Activar Gratis la version Basica|Activa a versión básica de forma gratuita
Registrar|Rexistrarse
<Terminal>|<Terminal>
Acerca de|Acerca de
Asistencia|Asistencia
Configuracion|Configuración
Listados|Listados
Caja|Caixa
Conexion con dispositivo movil - android|Conexión co dispositivo móbil - Android
Niveles de Acceso|Niveis de acceso
Almacenes|Almacéns
Mantenimiento|Mantemento
Actualizaciones Activadas|Actualizacións activadas
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Versión: 8.5.1)
Serie: XXX|Serie: XXX
Licencia: XXX|Licenza: XXX
PROGRAMA REGISTRADO|PROGRAMA REGISTRADO
nombre restaurante|nome do restaurante
Tpv 123 Hosteleria|Tpv 123 Hospitalidade
ADVERTENCIAS IMPORTANTES|ADVERTENCIAS IMPORTANTES
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- A ignorancia destas condicións non lle exime a cumprir.
