    Buscar Por Nombre:|search by name
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- The ignorance of these conditions does not alter the performance of the same .
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- In the BASIC mode , with a small annual fee you will have enabled the program options that allow you to make all necessary arrangements for your business, for more details see the option remember Types of License .
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- In FULL mode , making an annual payment , plus the options included in the BASIC version , shall be entitled to assistance in a telephone .
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- In the FREE mode , during the first 90 days you could try and work with the BASIC version , after that period may return to the free version or go to BASIC or FULL version . Remember that this version is for empr FREE
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- This is a standard program , no modification is made to measure or customizations , our customers in BASIC and FULL version if you can suggest some changes we will include at no extra cost in following versions .
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- The company Tpv 123 - Free is not responsible if the client formats the computer or is attacked by some kind of virus that causes loss or licensing information .
- Si usted esta utilizando la version GRATUITA y necesita algun tipo de asistencia recuerde que tiene que contratar la version BASICA o COMPLETA dependiendo de su incidencia.|- If you are using the FREE version and need some kind of assistance remember to hire BASIC or FULL version depending on its incidence.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Only clients have the FULL version including telephone assistance
- Tpv 123 - Gratuito recomienda la compra, para el buen funcionamiento del programa, de una impresora de tickets EPSON/SAMSUNG/Star o cualquier modelo de impresora, siempre que se instale junto con los drivers de dicha impresora. (Tipo de conexion recomen|- Tpv 123 - Free recommended purchase for the proper functioning of the program, ticket printer EPSON / SAMSUNG / Star or printer model when installed along with the drivers for that printer . ( Recommended Connection Type
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* See our website to confirm the prices that you may have suffered some change
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Remember that in order to have telephone assistance must have hired the Full version , otherwise make your inquiry directly from the program .
** Bienvenido **|** Welcome **
** DOBLE CLIC EN EL CLIENTE DESEADO|** Double click on the desired client
*clic para ver datos del producto|*click to see product data
*Pulse en la familia para ver los productos agregados a la misma|*Click on the family to see the products added to it
¡Tiempo Limitado!|Limited time!
¿Confirma que desea eliminar el siguiente registro?|Are you sure you want to delete the following record ?
¿cuantos|how many
¿Seleccione el Idioma?|¿Select the language ?
<Tipo de Licencia>|Agreement> Type:
0 decimales|0 decimals
123 - Generico|123 - Generic
2 decimales|2 decimals
6 Comprados|6 Bought
Abrir  Cajetin|Open  Drawer
Aceptar|accept
Acerca de|About
Activar Gratis la version Basica|Activate Free Basic version
Actualizaciones Activadas|Activated Updates
Admisitracion Permisos|Permissions Administration
ADVERTENCIAS IMPORTANTES|IMPORTANT
Al instalar este programa,usted acepta las siguientes condiciones:|By installing this program , you agree to the following conditions:
Almacenes|Stock
Alta Salones/ Barra|New Lounges / Bar
Ambos|both
Añadir + Productos a la SubFamilia|Add + Products to the SubFamily
Añadir Nuevos Productos|Add New Products
Añadir Postre|Add Dessert
Añadir Primero|Add First
Añadir Producto|Add Product
Añadir Productos|Add Products
Añadir Segundo|Add Second
Apellidos|surnames
Apellidos:|Surname:
Asistencia|Support
Aumento Precio|Increase Price
Barra|Bar
Base De Datos|Database
BEBIDAS/ POSTRES|BEVERAGES / DESSERTS
Borrar Venta|Delete Sale
Boton Pulsado|Pulsed Button
Buscar|search
Buscar Clientes|Find Customers
Caja|box
Caja Entradas|Tickets Box
Caja Ropero|Wardrobe Box
Cajetin|box
Cancelar|cancel
Cant.|Qty
Cantidad|amount
Cierre Año|Year close
Clic en el producto que desee incluir en el subproducto|Click on the product you want to include in the subproduct
Clic en el producto que desee incluir en su familia|Click on the product you want to include in your family
Clic sobre la familia para ver mas detalles|Click on the family to see more details
Click sobre la linea para añadir una traduccion|Click on the line to add a translation
Click sobre la linea para modificar la traduccion|Click on the line to modify the translation
Clientes|CUSTOMERS
Cod Empleado|Employee Cod
Cod. Prod.|Prod Code
Codigo|Code
Codigo de Barras:|Barcode :
Codigo del Menu|Code of Menu
codigo Familia|Family code
Color|color
comercial@tpvgratuito.com|comercial@tpvgratuito.com
Comprar|buy
Con este boton cambiara el color de la pantalla|With this button to change the color of the screen
Con este boton cambiara el tamaño de la ventana.|With this button to change the window size .
Con este boton podra ver datos de su licencia|This button may see your license data
CONDICIONES DE USO DEL PROGRAMA|CONDITIONS TO USE THE PROGRAM
Conectar en Red|Network Connect
Configuracion|configuration
Configuracion Inicial|Initial configuration
Configuracion Regional|Regional settings
Contacto:|Contact:
Continuar|continue
Continuar / Continue|Continue / Continue
Copia de Seguridad|Backup
Correo Electronico|email Address
Desc|desc
Desde|from
Diferencias entre tipos de licencia|Differences between types of license
Eliminar|remove
Email|Email
EMPLEADO|employee
Empleados|staff
Este boton le permitira cambiar la configuracion regional|This button allows you to change the regional settings
Este boton le servira para cambiar el idioma|This button will serve to change the language
Estoy utilizando una licencia|I am using a license
Familias|FAMILIES
Fecha de Alta|Date
Formas de Pago|PAYMENT
Hacer Copia de Seguridad|Backup
Hasta|to
Idiomas|Languages
Imagen|image
Impresoras|Printers
Impuesto|tax
Indice|Index
Label3|Label3
Licencia: XXX|License: XXX
Lista de Empleados|List of Employees
Lista de Productos |List of Products
Lista de Proveedores|List of Suppliers
Listados|Listings
Madrid - España|Madrid - Spain
Mantenimiento|maintenance
Menu|Menu
Modificar|change
Mostrar en Caja |Show in a Box
Movimiento|movement
Ninguno|none
Niveles de Acceso|Access Levels
Nombre|name
Nombre *|Name *
Nombre de Empresa|Company Name
Nombre:|Name:
Nuevo|new
Num_Factura|Num_Factura
Numero|Number
Observaciones:|Remarks:
Opciones|Options
Otros|others
Pasar de la version Gratuita a la Basica|Moving from the Basic Free version
PEDIDO|order
Poblacion|population
Posicion en Pantalla|Screen Position
Posicion En Pantalla:|Position on screen:
Precio|price
Precio de Venta|Sale Price
Precios|Prices
Primero|first
Producto|product
Producto de Menu|Product Menu
Productos|PRODUCTS
Programa|program
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Program protected by intellectual property rights in trademarks and patents in content and design.
Proveedor:|Provider:
Proveedores|SUPPLIERS
Provincia|province
Recargo|surcharge
Registrar|register
Regresar al idioma original|Back to the original language
Restaurar Copia de Seguridad|Restore Backup
Salir|leave
Seleccione el Idioma / Select the Language|Select the Language / Select the Language
Seleccione el Impuesto|Select the Tax
Seleccione el Numero de Decimales|Select the Number of Decimal
Seleccione el Pais|Select the country
Seleccione la Moneda|Select the currency
Seleccione su Bandera|Select your Flag
Seleccione Su Opcion|CHOOSE YOUR OPTION
Servido|used
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|If you decide to use remember the FREE version has some limitations , see License Types option for a more detailed description of the FREE version , BASIC and FULL .
Stock Actual:|Current Stock :
Telefono|Phone
Teléfono:|Phone:
tipo|type
Tipo de Impuesto|Type of Tax
Total|total
Tpv|Tpv
TPV 123 - Generico|POS 123 - Generic
Usted ha seleccionado|You have selected
www.tpvgratuito.com|www.tpvgratuito.com
XXX|XXX
- Este es un programa estandar, no se hacen modificaciones a medida o personalizaciones, nuestros clientes en version BASICA y COMPLETA si pueden sugerirnos algunos cambios que nosotros sin ningun coste añadido incluiremos en siguientes versiones.|- This is a standard program, no custom modifications or customizations are made, our clients in BASIC and COMPLETE version if they can suggest some changes that we will include at no additional cost in the following versions.
 Mostrar solo con Email Valido| Show only with Valid Email
 Mostrar Todos| Show all
$ 1 Dolar = |$ 1 Dollar =
(Opcion utilizada con frecuencia en algunos paises del caribe y sudameria) / No activar en paises en los que no es obligatorio cobrar propina|(Option used frequently in some countries of the Caribbean and Sudameria) / Do not activate in countries where it is not mandatory to charge tips
* Click en la columna de telefono para ver la direccion|* Click on the telephone column to see the address
* click en la linea que desea reimprimir|* click on the line you want to reprint
* Click para seleccionar la secuencia de apertura|* Click to select the opening sequence
* Click para seleccionar la secuencia de corte|* Click to select the cutting sequence
* Maximo 8 caracteres|* Maximum 8 characters
* Si no pone un correo electronico valido no recibirá respuesta|* If you do not put a valid email you will not receive a reply
** clic en la lista o introduzca el numero de ticket|** click on the list or enter the ticket number
** Gracias por su visita **|** Thanks for your visit **
*Clic para seleccionar salon|* Click to select room
¡Tiempo Limitado!|Limited time!
¿Confirma que desea eliminar el siguiente registro?|Are you sure you want to delete the next record?
¿cuantos|how many
¿Desea cargar el diseño anterior?|Do you want to load the previous design?
¿Ha olvidado su contraseña?|Have you forgotten your password?
¿Que son comandos adicionales? Despues de instalar los drivers de la impresora en propiedades de la misma encontramos una pestaña de comandos adicionales / desde aqui marcaremos la opcion de apertura de cajon (Open Draw1 o Open Draw2).|What are additional commands? After installing the printer drivers in properties of the same find a tab of additional commands / from here we mark the option to open drawer (Open Draw1 or Open Draw2).
¿Seleccione el Idioma?|Select the Language?
<---- Escriba el  texto que desea que aparezca en la parte inferior de la promocion|<---- Write the text you want to appear at the bottom of the promotion
<---- Escriba el  texto que desea que aparezca en la parte inferior de la reserva|<---- Write the text you want to appear at the bottom of the reservation
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la promocion|<---- Write the title or text you want to appear in the header of the promotion
<---- Escriba el titulo o el texto que desea que aparezca en la cabecera de la reserva|<---- Type the title or text you want to appear in the reservation header
<---- Haga un click para insertar la imagen|<---- Click to insert the image
<---- Texto que aparece en el cuerpo de la promocion|<---- Text that appears in the body of the promotion
<---- Texto que se genera automaticamente|<---- Text that is generated automatically
<Terminal>|<Terminal>
€ 1 Euro = |€ 1 Euro =
1.- La empresa SolverMedia no se responsabiliza de la mala manipulación de su registro de licencia así como del numero asignado para su registro.|1.- The company SolverMedia is not responsible for the bad manipulation of its license record as well as the number assigned for its registration.
2.- La empresa SolverMedia no concederá una nueva licencia a aquellos clientes que por problemas ajenos a SolverMedia hallan perdido el registro del programa, esos problemas pueden venir causados por:|2.- The SolverMedia company will not grant a new license to those customers who, due to problems outside SolverMedia, have lost the program's registry, these problems can be caused by:
3.- Si se produce alguno de estos casos anteriores, antes de realizar ninguna acción,  pongase en contacto con el departamento técnico de SolverMedia comercial@solvermedia.com para que le ayuden a realizar el cambio.|3.- If any of these previous cases occurs, before carrying out any action, contact the technical department of SolverMedia comercial@solvermedia.com to help you make the change.
4.- Estimado cliente recuerde que sólo podrá recibir las actualizaciones del programa en caso de tener el contrato de mantenimiento al día.|4.- Dear customer, remember that you can only receive program updates if you have the maintenance contract up to date.
Abrir Cajetin|Open Cajetin
Acerca de ...|About ...
activa|active
Activar concepto Propina / Servicio / Otros|Activate concept Tipping / Service / Other
Activar linea propina en preticket|Activate tip line in preticket
Activar Opciones|Activate Options
Activar Precios para este Terminal|Activate Prices for this Terminal
Activar Precios para este terminal de venta|Activate Prices for this sales terminal
Activar Servicio De Correos|Activate Post Service
Administracion Permisos|Permissions Administration
Almuerzo|lunch
alturacandidadingredientes|heightcandityingredients
alturagrid|alturagrid
Ancho 10 cm|Width 10 cm
Ancho A4 (21cm)|Width A4 (21cm)
Ancho A5 (14cm)|Width A5 (14cm)
Antigua|Ancient
Añadir + Productos a la SubFamilia|Add + Products to the SubFamily
Añadir codigo de barras en descripcion de producto|Add barcode in product description
Añadir Nuevos Productos|Add New Products
Añadir Postre|Add Dessert
Añadir Primero|Add First
Añadir Producto|Add Product
Añadir Productos|Add Products
Añadir Segundo|Add Second
Año|Year
Apertura estandar para impresoras USB|Standard opening for USB printers
Aplicar Cambios para este Empleado|Apply Changes for this Employee
Asistencia y Sugerencias|Assistance and Suggestions
Asunto|Affair
Aviso de averia|Breakdown notice
Aviso de Averia / Consulta|Warning / Consultation
Ayuda|Help
B. Aires - Argentina|B. Aires - Argentina
Base|Base
Bit|Bit
Bogota - Colombia|Bogota Colombia
Boleta Formato Ticket|Ticket Format Ticket
Boletas|Ballots
