Configuracion Inicial|Configurazione iniziale
Seleccione el Idioma / Select the Language|Seleziona lingua / Seleziona lingua
Color|colore
Movimiento|mozione
Otros|altrui
Indiquenos desde que sitio ha descargado este programa|Indica da quale sito hai scaricato questo programma
Correo Electronico|posta elettronica
2 decimales|2 decimali
0 decimales|0 decimali
Seleccione el Numero de Decimales|Seleziona il numero di decimali
Seleccione el Impuesto|Seleziona la tassa
Seleccione su Bandera|Seleziona la tua bandiera
Seleccione la Moneda|Seleziona la valuta
Seleccione el Pais|Seleziona il paese
Nombre de Empresa|Nome dell'azienda
Continuar|continuare
Programa|programma
Continuar / Continue|Continua / Continua
Este boton le permitira cambiar la configuracion regional|Questo pulsante ti consentirà di modificare le impostazioni regionali
Con este boton cambiara el tamaño de la ventana.|Con questo pulsante, cambierai la dimensione della finestra.
Con este boton podra ver datos de su licencia|Con questo pulsante puoi vedere i tuoi dati di licenza
Este boton le servira para cambiar el idioma|Questo pulsante servirà per cambiare la lingua
Con este boton cambiara el color de la pantalla|Con questo pulsante il colore dello schermo cambierà
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Programma protetto da diritti di proprietà intellettuale in marchi e brevetti in termini di contenuto e design.
Madrid - España|Madrid - Spagna
Tpv|TPV
** Bienvenido **|** Benvenuto **
Salir|uscita
Caja Entradas|Scatola dei biglietti
Seleccione Su Opcion|Seleziona la tua opzione
Caja Ropero|Scatola guardaroba
Comprar|acquistare
¡Tiempo Limitado!|Tempo limitato!
6 Comprados|6 comprato
Horas:|ore:
Cod Promocion: XXXXX|Promozione del merluzzo: XXXXX
Tiene un descuento de|Ha uno sconto di
Precios|prezzi
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Ricorda che per avere assistenza telefonica devi avere la versione completa, altrimenti consultare direttamente dal programma.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Controlla il nostro sito Web, per confermare i prezzi che potrebbero aver subito qualche cambiamento
<Tipo de Licencia>|<Tipo di licenza>
Estoy utilizando una licencia|Sto usando una licenza
Diferencias entre tipos de licencia|Differenze tra i tipi di licenza
Pasar de la version Gratuita a la Basica|Passa dalla versione gratuita alla versione base
Promociones / Envio Email|Promozioni / Email
Admisitracion Permisos|Permessi di ammissione
Tipos de licencia|Tipi di licenza
Conectar en Red|Connetti in rete
Activar Gratis la version Basica|Attiva la versione base gratuitamente
Registrar|record
<Terminal>|<Terminal>
Acerca de|su
Asistencia|assistenza
Configuracion|Configuración
Listados|annunci
Caja|scatola
Conexion con dispositivo movil - android|Connessione con dispositivo mobile - Android
Niveles de Acceso|Livelli di accesso
Almacenes|magazzini
Mantenimiento|manutenzione
Actualizaciones Activadas|Aggiornamenti attivati
Tpv 123 Hosteleria (Version: 8.5.1)|Tpv 123 Hosteleria (Versione: 8.5.1)
Serie: XXX|Serie: XXX
Licencia: XXX|Licenza: XXX
PROGRAMA REGISTRADO|PROGRAMMA REGISTRATO
nombre restaurante|nome del ristorante
Tpv 123 Hosteleria|Tpv 123 Hospitality
ADVERTENCIAS IMPORTANTES|AVVERTENZE IMPORTANTI
- El desconocimiento de estas condiciones no le exime del cumplimiento de las mismas.|- L'ignoranza di queste condizioni non ti esonera dal rispettarle.
- Solo los clientes con la version COMPLETA tienen incluida la asistencia telefonica|- Solo i clienti con la versione COMPLETA hanno l'assistenza telefonica inclusa
---- En la modalidad COMPLETA, realizando un pago anual, ademas de las opciones incluidas en la version BASICA, tendra derecho a la asistencia de forma telefonica.|---- Nella modalità COMPLETA, effettuando un pagamento annuale, oltre alle opzioni incluse nella versione BASIC, avrai diritto all'assistenza telefonica.
---- En la modalidad BASICA, con una reducida cuota anual usted tendra habilitada las opciones del programa que le permitiran realizar todas gestiones necesarias para su negocio, para mayor detalle recuerde consultar la opcion de Tipos de Licencia.|---- Nella modalità di base, con un diritto annuale ridotto avrete attivato le opzioni del programma che vi permetterà di fare tutte le disposizioni necessarie per il vostro business, per maggiori dettagli vedere l'opzione ricordare tipi di licenza.
Si decide utilizar la version GRATUITA recuerde que tiene algunas limitaciones, consulte la opcion de Tipos de Licencia para una descripcion mas detallada de la version GRATUITA, BASICA y COMPLETA.|Se decidi di utilizzare la versione GRATUITA, ricorda che ha alcune limitazioni, consulta l'opzione Tipi di licenza per una descrizione più dettagliata della versione GRATUITA, BASIC e COMPLETA.
---- En la modalidad GRATUITA, durante los primeros 90 dias usted podra probar y trabajar con la version BASICA, pasado ese periodo podra volver a la version gratuita o pasar a la version BASICA o COMPLETA. Recuerde que esta version GRATUITA  es para empr|---- Nella modalità FREE, durante i primi 90 giorni puoi provare a lavorare con la versione BASIC, dopo questo periodo puoi tornare alla versione gratuita o andare alla versione BASIC o COMPLETA. Ricorda che questa versione GRATUITA è per il business
- La empresa Tpv 123 - Gratuito no es responsable si el cliente formatea el equipo o es atacado por algun tipo de virus que provoque la perdida de informacion o de licencia.|- La società Tpv 123 - Gratuito non è responsabile se il cliente formatta l'attrezzatura o viene attaccata da qualche tipo di virus che causa la perdita di informazioni o la licenza.
