Configuracion Inicial|Configuração inicial
Seleccione el Idioma / Select the Language|Selecione o idioma / selecione o idioma
Color|Cor
Movimiento|Movimento
Otros|Outros
Indiquenos desde que sitio ha descargado este programa|Indique de qual site você baixou este programa
Correo Electronico|Correio eletrônico
2 decimales|2 decimais
0 decimales|0 decimais
Seleccione el Numero de Decimales|Selecione o número de decimais
Seleccione el Impuesto|Selecione o imposto
Seleccione su Bandera|Selecione seu sinalizador
Seleccione la Moneda|Selecione a moeda
Seleccione el Pais|Selecione o país
Nombre de Empresa|Nome de empresa
Continuar|Continue
Programa|Programa
Continuar / Continue|Continue / Continue
Este boton le permitira cambiar la configuracion regional|Este botão permitirá que você altere as configurações regionais
Con este boton cambiara el tamaño de la ventana.|Com este botão, você irá alterar o tamanho da janela.
Con este boton podra ver datos de su licencia|Com este botão, você pode ver seus dados de licença
Este boton le servira para cambiar el idioma|Este botão servirá para mudar o idioma
Con este boton cambiara el color de la pantalla|Com este botão, a cor da tela mudará
Programa protegido por los derechos de propiedad intelectual en Marcas y Patentes en cuanto a contenido y diseño.|Programa protegido por direitos de propriedade intelectual em marcas e patentes em termos de conteúdo e design.
Madrid - España|Madrid Espanha
Tpv|Tpv
** Bienvenido **|** Bem-vindo **
Salir|Saída
Caja Entradas|Caixa de bilhetes
Seleccione Su Opcion|Selecione sua opção
Caja Ropero|Caixa de guarda-roupa
Comprar|Comprar
¡Tiempo Limitado!|Tempo Limitado!
6 Comprados|6 comprado
Horas:|Horas:
Cod Promocion: XXXXX|Promoção de bacalhau: XXXXX
Tiene un descuento de|Tem um desconto de
Precios|Preços
* Recuerde que para poder tener asistencia telefonica tiene que tener contratado la version Completa, en caso contrario haga su consulta directamente desde el programa.|* Lembre-se que, para ter assistência por telefone, você deve ter a versão completa, caso contrário, consulte diretamente do programa.
* Consulte nuestra pagina web, para confirmar los precios que es posible que hayan sufrido algun cambio|* Confira nosso site, para confirmar os preços que podem ter sofrido alguma alteração
<Tipo de Licencia>|<Tipo de licença>
Estoy utilizando una licencia|Estou usando uma licença
Diferencias entre tipos de licencia|Diferenças entre tipos de licença
Pasar de la version Gratuita a la Basica|Alternar da versão gratuita para a versão básica
Promociones / Envio Email|Promoções / Email
Admisitracion Permisos|Autorizações de admissão
Tipos de licencia|Tipos de licença
Conectar en Red|Conecte-se na rede
Activar Gratis la version Basica|Ativar a versão básica gratuitamente
Registrar|Cadastre-se
<Terminal>|<Terminal>
Acerca de|Sobre
Asistencia|Assistência
Configuracion|Configuração
Listados|Listagens
Caja|Box
Conexion con dispositivo movil - android|Conexão com dispositivo móvel - android
Niveles de Acceso|Níveis de Acesso
Almacenes|Armazéns
Mantenimiento|Manutenção
Actualizaciones Activadas|Atualizações Ativadas
